Textbook,Unit,audio_url,emotion label,corrected whisper_transcript
ielts,hobby,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/bf99dc97-fa1c-47be-8334-617d99367edd---f90d8cbe-17ce-4a05-b8d8-82696e5eabb7.wav,Pauses,"Actually, I like to listen more different music such as rock and blues and rock."
ielts,entertainment,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/8b99cd41-b56c-4dfa-9143-c55ff3c3d2eb---e5e28bbc-0e16-4f6e-815a-fe2aa79f8441.wav,Neutral,Nobody.
ielts,city_town,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/1abdb5b5-298d-49c1-ab9f-29f6f11e0a9d---f3706273-f5fa-4521-a355-fe7c7f7109d0.wav,Neutral,I go to the zoo every weekend.
ielts,bike_trip,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/c29082ff-aaaf-4022-a83f-826c44f3a746---421fd3e6-c703-44bd-bf51-e81bb1b666ed.wav,Pauses,"When I am spared, I usually do some sport like playing football because I am a football fan and I played it when I was in the kindergarten and it can make me relax myself and also relax my pressure."
ielts,fashion,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/20517d91-3944-4a34-b498-6c87b210adee---5d7d3e23-06a3-4416-89ac-a44a76d810c3.wav,Neutral,"Sometimes yes, because good things do happen in dreams that seems quite improbable in real life."
ielts,home,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/2c40676c-e012-466b-982a-599ca840c7bf---3041c5ec-6aed-433e-b20e-2764e4a29b48.wav,Neutral,I live in a house because in country many people live in houses so I think it is a good place to live and I enjoy myself.
ielts,gift,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/c3dc8434-6ae7-44d2-82bb-96646cf5729f---057e5576-abf2-4a4f-babe-03e41d6781f2.wav,Neutral,"My favorite day of the week is Saturday because it's one day I can sleep in and not have to worry about work or school. I like to spend Saturdays relaxing and doing things I enjoy, like going for walks or hanging out with friends."
ielts,fashion,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/06128238-26e2-4ffc-b124-a44c27aade61---e9f9cb23-66d5-46a3-a086-8d8c9ba6fc0e.wav,Neutral,"Of course, because I hate bad men when I was young, so I prefer to be a good policeman and I want to catch more and more criminal."
ielts,hobby,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/bf99dc97-fa1c-47be-8334-617d99367edd---281d357d-e561-4ebf-aeb4-0838a7695185.wav,Pauses,"Yes, of course. Because my favorite sport might be known for others. So I will introduce this sport for my students and for my classmates and another friend."
ielts,city_town,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/ac925e63-84a5-45ae-b157-b063c346cc39---b4410e7b-8fbf-48e0-ac6a-206ccefc8913.wav,Pauses,"Maybe I usually make a list on something I need to do, just like work. If I don't finish my work, I can't open my phone you know. My phone is very is here for me and I think if I don't take off my phone, I will play the game in phone and chat with my friends in the phone."
ielts,city_town,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/17188f11-b5e2-4e2f-9441-f76a2dfaeec8---3b0be118-2512-44b2-95f5-14b88cfc4751.wav,Neutral,"Sure, speaking of the place I'd like to spend time in, I would say there is a small cafe near my home and there are often few people in the weekdays, however, there are still some students on the weekends. Well I always go there for working with my laptop. I would just sit there and ordered a cup of coffee. I would say my favorite is the mocha and I would sit there for the whole afternoon and even the whole day to finish my job. Because I think working in a really quiet place without noises will make sure I can concentrate on the work. And also, there will be some relaxing music while you drinking, and which will definitely relax my mind so it's really a good place to do the work. And I gradually keep contact with the cafe owner, and we have become good friends so I will go there as frequent as possible."
ielts,meals,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/f1ab2663-fe7a-48d0-b504-043a718d8906---431c95cc-7096-43e4-92c4-107cfe962593.wav,Neutral,"Well, my favorite food must be the meat. Anything made of meat is my favorite, like the steak, or the sausage, and even the hot dogs."
ielts,sports,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/b406f793-f7e8-4ed9-bfdc-bdd050331a76---ffc2cd32-3d9c-4250-8b5e-a628be1ed701.wav,Neutral,"Well, that's a bit tricky to say, but I would say that the social media and websites are two different types of the website so they are not in the same change I think."
ielts,hobby,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/fec129e2-a552-4c88-ae30-09361e5febc8---6e927319-a201-430c-9b54-65914743260d.wav,Neutral,"The most popular genre of music where I live is pop music. It is played on almost every radio station and most people seem to enjoy listening to it. Pop music has a catchy beat and lyrics that are easy to remember and it appeals to a wide audience. I also notice a lot of rap and hip hop music in my area, which is often played in clubs and at social events."
ielts,hobby,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/bf99dc97-fa1c-47be-8334-617d99367edd---d118f4b4-7f39-4195-b77d-fe00ac8201d6.wav,Pauses,"Adults need to be busy on their work and the children need to study more on weekends, so I think they not have enough time to do another activities together."
ielts,childhood,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/7348cdce-637d-48a9-97fa-1a39b4fa1a7b---90bbb5e1-e98f-413f-8d1b-1a39387b5280.wav,Neutral,"I think when I was in my childhood, maybe the place I liked to meet with my friends was at the playground. Maybe after dinner, some children with me and me liked to go to the playground to do some games or do some things we like, and that's all. But now, I think maybe adults like to spend some free time together to do some even boring things. That's all."
ielts,bike_trip,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/b77f7fa5-4385-4e45-898b-dddddec730b7---974a27cc-a494-4f40-9faa-10e5aadbdb0d.wav,Neutral,"Frank, thank you."
ielts,teamwork,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/5084e600-3255-4e91-99ba-5ffa07acf466---5acffb86-9e46-4dc1-bff5-afe1e6931bd4.wav,Neutral,"Yes, I have told to my mom and my mom said wow you are so good. Yes you know parents is also like this. And when I talk to my friends, my friends says wow it's a really good experience. Yes they just encourage me and they also told me if I have another chance, they encourage me to do it and maybe I can get another prize."
ielts,city_town,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/13b4b6f6-4c54-45a4-897a-eba19d21a6d1---5cce07fd-84a8-4042-babf-52d63f2d46f5.wav,Pauses,"I would say the biggest distraction when I'm trying to stay focused is when I have a lot of tasks that I simultaneously need to be that I need to do. And in that case, I will be distracted because I'm thinking about many things at once and cannot only focus on one thing. And also, if I'm with myself inside a room, it's more like that I can be distracted because unlike in an office or in a library where everyone else is studying, and which they create a environment for you to study, then it could be the case that they could not that you could not concentrate very well."
ielts,skills,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/c6f6c36e-3933-4c8d-8f59-c3515caca9dd---aa760ab1-b476-4ca8-9b7b-e2d3d1b16e9a.wav,Neutral,"Yes, I would like to write some short essays after I watch a film."
ielts,childhood,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/9cdb9255-c25b-4049-9687-dca96fb20435---97294ac3-69e6-40a9-b68e-280106c3dd3a.wav,Neutral,So at least like they know like you click stop to once you finish.
ielts,promise,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/2d800dcc-8dcc-4812-a5e9-37a6019627b4---9f80b07a-b472-40f2-9a82-19a2bdc031c6.wav,Pauses,"No, actually not because I don't like take a nap when during my childhood."
ielts,bike_trip,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/347631df-85b1-4c80-9df8-64d833e443f4---a04bfb88-7f07-473a-9370-bf5fceb7bd7f.wav,Neutral,yes I think the biking is a best way to take exercise because the people can biking and use the bike to go anywhere they want it's very convenient.
ielts,city_town,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/81227108-83e3-4c76-8d9c-5e05846b7e5a---8a4b937d-58df-4346-8605-4dc843b8b2ec.wav,Neutral,The sans books I really like to read because I think I can learn many things in these books you know. I'm a software engineer so I often need to read these books to tell me how to fix the computer. How to work on the network.
ielts,coffee_shop,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/0c886410-0b09-4893-910d-9890bbcf477e---814389e5-5282-4a43-86bc-8bb81b81faa2.wav,Neutral,"Yes, there are several shops selling ice cream near where I live. There are both small local shops and larger chain stores that offer different flavors and types of ice cream."
ielts,meals,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/fb157e24-7af5-4e64-b215-381062778131---29c86be3-a25d-475a-b7c3-bc0c13d466cc.wav,Neutral,"Well I think parents should teach their children to eat healthily because parents are responsible for their kids or their children's meal for most of the time. They prepared breakfast at home, at least in China we did something like that. And they prepared lunch or they would otherwise they would chose what their children would eat okay, so in for lunch. And they cook dinner for their children after work so I think parents should do that."
nce3vicunav0,unit8,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/bb1075f8-9cde-459b-b4df-ca6907f96b82---0d896a63-2246-42d8-964d-217f7e09fc60.wav,Neutral,"Yes, I've read some Chinese literature. Have you?"
ielts,sports,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/58f3a7b4-8c8f-448b-a937-786538efbbe9---80ff52f3-0855-4253-bd7d-b62a4fc7a582.wav,Pauses,My favorite weather is summer because I can enjoy my breather and it will make me dumb. My least favorite weather is winter. I hate cold because I like warmth.
nce3v6,unit6,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/5376fbd8-4bb5-42cc-b9a4-680400d8dce0---14d89747-8543-4e8d-bbf1-1708ea09c4e9.wav,Neutral,"Yes, staying properly hydrated is essential for maintaining good health and overall well-being."
nce3vicunav0,unit4,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/bd4a2de1-cfaa-41c1-8716-a3d017e41b50---ffcbce4a-4358-4f50-a7f2-a8740df5d03f.wav,Neutral,So which actor or actress you like best?
ielts,social_media,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/02f474e2-0c2e-4829-bf96-42a65173bcdc---5f11b927-a1d1-4dc9-982a-914e14192789.wav,Neutral,"Yes, while I occasionally stay up late for work later, I always use social network to do some exercise and relax myself."
ielts,hobby,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/d8578515-0491-4e37-8509-40626e84fb77---9d742d97-3b2d-445f-8dd7-f4cf3745acdf.wav,Neutral,Are there more activities for young people now than 20 years ago?
ielts,entertainment,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/34015e6d-44b6-40b5-aa5c-6b9ce3b7a343---02e35f41-18ca-4864-aa18-1981bd6c94f1.wav,Neutral,"Well, I don't. Generally I like all kinds of music but there is certain types of music that I cannot understand very well: that is opera. And I think that is quite difficult for me to adjust and to comprehend."
ielts,bike_trip,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/b3fd334c-d179-4c15-8448-7d3edbfd7aa6---584e0535-cf41-491f-b2ca-8f17d5aa4925.wav,Pauses,I'm a student so you mean the rest will be...
ielts,home,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/faad050e-f219-43dd-9c6d-d5bc2c629cfe---db1ad638-d637-42dd-a5dc-6d58a6fde342.wav,Neutral,"You know, the cost, the importance of, you know, the friends that they go with. I mean, these are all important factors for them to feel about traveling."
ielts,entertainment,https://spoken-edubot-audio-storage.s3.us-east-2.amazonaws.com/97798039-ce8e-43b8-9071-40b4a4082a6f---0f42706e-deac-4665-8793-95b3aaf59556.wav,Neutral,I would say yes because in the future I want to like work for myself. I don't want to work for anybody else anymore. even though now I work in a cram school it's...I had pretty much fun time here but I'm still working for other people so I really want to start my own business and take my own journey in the future.
ielts,childhood,https://ielts-audio-store.s3.ap-northeast-2.amazonaws.com/ae1fb625-21d9-41ee-a3a8-d627f7edbb65---b18987f4-ef65-4b84-b6f2-baa1a2b4d8d6.wav,Neutral,"Oh yeah definitely. I always draw some plans about my data routing yeah, which can arrange my assignment and work smoothly and well. It can guarantee my efficiency and productivity."
